epoch,loss,accuracy
0,4.6661109743239,0.0114
1,4.341089846212653,0.0729
2,4.035973944241488,0.2141
3,3.7507706774940974,0.3693
4,3.485678048073491,0.4599
5,3.2409715712824956,0.5211
6,3.0169764681707454,0.5627
7,2.813815171205545,0.5932
8,2.6312062136734586,0.6097
9,2.4683929636508606,0.6251
10,2.3241236783281156,0.6391
11,2.1967900931080684,0.6487
12,2.084630732294879,0.6587
13,1.9858668574803993,0.667
14,1.8987800229953815,0.6742
15,1.8218154062198688,0.6807
16,1.7535883414594433,0.6862
17,1.6928935322580458,0.6912
18,1.6386792795567573,0.6956
19,1.5900589921806432,0.6994
20,1.546286170995688,0.7018
21,1.506712187694598,0.705
22,1.4708017820044408,0.7075
23,1.4380770408654515,0.7105
24,1.4081686554075796,0.7134
25,1.3807205233392836,0.7164
26,1.3554413243185115,0.7186
27,1.3320953906336916,0.7197
28,1.3104534511324726,0.7213
29,1.2903520879866202,0.7231
30,1.2716233413430709,0.7245
31,1.2540916853313204,0.7266
32,1.2377046512652048,0.7283
33,1.2223227522041225,0.7297
34,1.2078981972947906,0.7312
35,1.1942611525330362,0.7323
36,1.1813813266874869,0.7327
37,1.169205679169184,0.7332
38,1.1576711490184446,0.7342
39,1.1466946458514733,0.7352
40,1.1362704566762418,0.7363
41,1.1263427364675305,0.7379
42,1.116878503485571,0.7384
43,1.1078532255148585,0.7396
44,1.0992125793348384,0.7405
45,1.090969746625876,0.7413
46,1.0830426193490814,0.742
47,1.075423062602176,0.7424
48,1.0681328411343731,0.7436
49,1.0611282956751087,0.7444
50,1.0543943153151982,0.7446
51,1.0478975606870047,0.7452
52,1.0416167808484427,0.7464
53,1.0356030222735828,0.7474
54,1.0297516939006275,0.7481
55,1.024112118950373,0.7493
56,1.0186556630496737,0.7502
57,1.0133983319318747,0.7504
58,1.0082945031455801,0.7512
59,1.003359141229074,0.7523
60,0.9985650400572186,0.7527
61,0.9939126221439506,0.7528
62,0.9893956101393397,0.7531
63,0.9850138101396682,0.754
64,0.9807244456267055,0.7539
65,0.97659873358811,0.7544
66,0.9725840929188306,0.7548
67,0.9686418500127671,0.7551
68,0.9648141664794728,0.7555
69,0.9610891862760617,0.7558
